im Park spielen	jouer au parc
eine Party organisieren	organiser une fête
Videospiele spielen	jouer aux jeux vidéo
bis 22 Uhr lesen	lire jusqu'à 22 heures
schwimmen gehen	aller nager
Filme sehen	regarder des films
Zigaretten rauchen	fumer des cigarettes
Alkohol trinken	boire de l'alcool
mobben	harceler
Drogen nehmen	prendre de la drogue
etwas klauen	voler quelque chose
in der Klasse schlafen	dormir en classe
in die Schule gehen	aller à l'école
5 Obst und Gemüse essen	manger 5 fruits et légumes
mein Zimmer aufräumen	ranger ma chambre
in der Schule Sport machen	faire du sport à l'école
Musik üben	s'entraîner à la musique
bis	jusqu'à
jeden Tag	tous les jours
